Timestamp,Appliance,Usage_Watts
2025-09-12 16:04:39,Fridge,240
2025-09-12 16:04:39,Washing Machine,257
2025-09-12 16:04:39,TV,272
2025-09-12 16:05:39,AC,258
2025-09-12 16:05:39,Fridge,238
2025-09-12 16:05:39,Washing Machine,202
2025-09-12 16:05:39,TV,229
2025-09-12 16:06:39,AC,331
2025-09-12 16:06:39,Fridge,277
2025-09-12 16:06:39,Washing Machine,1406
2025-09-12 16:06:39,TV,339
2025-09-12 16:07:39,AC,304
2025-09-12 16:07:39,Fridge,216
2025-09-12 16:07:39,Washing Machine,326
2025-09-12 16:07:39,TV,340
2025-09-12 16:08:39,AC,238
2025-09-12 16:08:39,Fridge,287
2025-09-12 16:08:39,Washing Machine,340
2025-09-12 16:08:39,TV,274
2025-09-12 16:09:39,AC,220
2025-09-12 16:09:39,Fridge,263
2025-09-12 16:09:39,Washing Machine,289
2025-09-12 16:09:39,TV,317
2025-09-12 16:10:39,AC,274
2025-09-12 16:10:39,Fridge,322
2025-09-12 16:10:39,Washing Machine,232
2025-09-12 16:10:39,TV,279
2025-09-12 16:11:39,AC,214
2025-09-12 16:11:39,Fridge,349
2025-09-12 16:11:39,Washing Machine,346
2025-09-12 16:11:39,TV,313
2025-09-12 16:12:39,AC,322
2025-09-12 16:12:39,Fridge,307
2025-09-12 16:12:39,Washing Machine,305
2025-09-12 16:12:39,TV,317
2025-09-12 16:13:39,AC,311
2025-09-12 16:13:39,Fridge,245
2025-09-12 16:13:39,Washing Machine,253
2025-09-12 16:13:39,TV,255
2025-09-12 16:14:39,AC,301
2025-09-12 16:14:39,Fridge,307
2025-09-12 16:14:39,Washing Machine,257
2025-09-12 16:14:39,TV,296
2025-09-12 16:15:39,AC,267
2025-09-12 16:15:39,Fridge,285
2025-09-12 16:15:39,Washing Machine,308
2025-09-12 16:15:39,TV,289
2025-09-12 16:16:39,AC,337
2025-09-12 16:16:39,Fridge,299
2025-09-12 16:16:39,Washing Machine,322
2025-09-12 16:16:39,TV,1450
2025-09-12 16:17:39,AC,224
2025-09-12 16:17:39,Fridge,1160
2025-09-12 16:17:39,Washing Machine,271
2025-09-12 16:17:39,TV,214
2025-09-12 16:18:39,AC,240
2025-09-12 16:18:39,Fridge,227
2025-09-12 16:18:39,Washing Machine,257
2025-09-12 16:18:39,TV,1424
2025-09-12 16:19:39,AC,313
2025-09-12 16:19:39,Fridge,220
2025-09-12 16:19:39,Washing Machine,328
2025-09-12 16:19:39,TV,262
2025-09-12 16:20:39,AC,287
2025-09-12 16:20:39,Fridge,345
2025-09-12 16:20:39,Washing Machine,1418
2025-09-12 16:20:39,TV,1386
2025-09-12 16:21:39,AC,271
2025-09-12 16:21:39,Fridge,329
2025-09-12 16:21:39,Washing Machine,229
2025-09-12 16:21:39,TV,267
2025-09-12 16:22:39,AC,249
2025-09-12 16:22:39,Fridge,223
2025-09-12 16:22:39,Washing Machine,345
2025-09-12 16:22:39,TV,324
2025-09-12 16:23:39,AC,238
2025-09-12 16:23:39,Fridge,332
2025-09-12 16:23:39,Washing Machine,328
2025-09-12 16:23:39,TV,232
2025-09-12 16:24:39,AC,330
2025-09-12 16:24:39,Fridge,350
2025-09-12 16:24:39,Washing Machine,267
2025-09-12 16:24:39,TV,260
2025-09-12 16:25:39,AC,829
2025-09-12 16:25:39,Fridge,292
2025-09-12 16:25:39,Washing Machine,257
2025-09-12 16:25:39,TV,329
2025-09-12 16:26:39,AC,349
2025-09-12 16:26:39,Fridge,1480
2025-09-12 16:26:39,Washing Machine,210
2025-09-12 16:26:39,TV,321
2025-09-12 16:27:39,AC,1355
2025-09-12 16:27:39,Fridge,347
2025-09-12 16:27:39,Washing Machine,257
2025-09-12 16:27:39,TV,231
2025-09-12 16:28:39,AC,277
2025-09-12 16:28:39,Fridge,294
2025-09-12 16:28:39,Washing Machine,305
2025-09-12 16:28:39,TV,274
2025-09-12 16:29:39,AC,268
2025-09-12 16:29:39,Fridge,1020
2025-09-12 16:29:39,Washing Machine,236
2025-09-12 16:29:39,TV,332
2025-09-12 16:30:39,AC,1294
2025-09-12 16:30:39,Fridge,202
2025-09-12 16:30:39,Washing Machine,273
2025-09-12 16:30:39,TV,297
2025-09-12 16:31:39,AC,254
2025-09-12 16:31:39,Fridge,341
2025-09-12 16:31:39,Washing Machine,331
2025-09-12 16:31:39,TV,268
2025-09-12 16:32:39,AC,278
2025-09-12 16:32:39,Fridge,858
2025-09-12 16:32:39,Washing Machine,319
2025-09-12 16:32:39,TV,284
2025-09-12 16:33:39,AC,250
2025-09-12 16:33:39,Fridge,253
2025-09-12 16:33:39,Washing Machine,281
2025-09-12 16:33:39,TV,275
2025-09-12 16:34:39,AC,324
2025-09-12 16:34:39,Fridge,239
2025-09-12 16:34:39,Washing Machine,232
2025-09-12 16:34:39,TV,261
2025-09-12 16:35:39,AC,220
2025-09-12 16:35:39,Fridge,265
2025-09-12 16:35:39,Washing Machine,201
2025-09-12 16:35:39,TV,207
2025-09-12 16:36:39,AC,328
2025-09-12 16:36:39,Fridge,1454
2025-09-12 16:36:39,Washing Machine,234
2025-09-12 16:36:39,TV,292
2025-09-12 16:37:39,AC,330
2025-09-12 16:37:39,Fridge,335
2025-09-12 16:37:39,Washing Machine,217
2025-09-12 16:37:39,TV,208
2025-09-12 16:38:39,AC,218
2025-09-12 16:38:39,Fridge,248
2025-09-12 16:38:39,Washing Machine,264
2025-09-12 16:38:39,TV,241
2025-09-12 16:39:39,AC,300
2025-09-12 16:39:39,Fridge,332
2025-09-12 16:39:39,Washing Machine,214
2025-09-12 16:39:39,TV,221
2025-09-12 16:40:39,AC,336
2025-09-12 16:40:39,Fridge,292
2025-09-12 16:40:39,Washing Machine,210
2025-09-12 16:40:39,TV,271
2025-09-12 16:41:39,AC,213
2025-09-12 16:41:39,Fridge,347
2025-09-12 16:41:39,Washing Machine,281
2025-09-12 16:41:39,TV,303
2025-09-12 16:42:39,AC,202
2025-09-12 16:42:39,Fridge,242
2025-09-12 16:42:39,Washing Machine,308
2025-09-12 16:42:39,TV,203
2025-09-12 16:43:39,AC,217
2025-09-12 16:43:39,Fridge,250
2025-09-12 16:43:39,Washing Machine,281
2025-09-12 16:43:39,TV,242
2025-09-12 16:44:39,AC,213
2025-09-12 16:44:39,Fridge,322
2025-09-12 16:44:39,Washing Machine,1003
2025-09-12 16:44:39,TV,251
2025-09-12 16:45:39,AC,267
2025-09-12 16:45:39,Fridge,288
2025-09-12 16:45:39,Washing Machine,212
2025-09-12 16:45:39,TV,326
2025-09-12 16:46:39,AC,350
2025-09-12 16:46:39,Fridge,345
2025-09-12 16:46:39,Washing Machine,271
2025-09-12 16:46:39,TV,269
2025-09-12 16:47:39,AC,222
2025-09-12 16:47:39,Fridge,319
2025-09-12 16:47:39,Washing Machine,226
2025-09-12 16:47:39,TV,252
2025-09-12 16:48:39,AC,291
2025-09-12 16:48:39,Fridge,298
2025-09-12 16:48:39,Washing Machine,337
2025-09-12 16:48:39,TV,248
2025-09-12 16:49:39,AC,217
2025-09-12 16:49:39,Fridge,203
2025-09-12 16:49:39,Washing Machine,337
2025-09-12 16:49:39,TV,230
2025-09-12 16:50:39,AC,321
2025-09-12 16:50:39,Fridge,201
2025-09-12 16:50:39,Washing Machine,349
2025-09-12 16:50:39,TV,299
2025-09-12 16:51:39,AC,211
2025-09-12 16:51:39,Fridge,285
2025-09-12 16:51:39,Washing Machine,234
2025-09-12 16:51:39,TV,343
2025-09-12 16:52:39,AC,259
2025-09-12 16:52:39,Fridge,204
2025-09-12 16:52:39,Washing Machine,272
2025-09-12 16:52:39,TV,326
2025-09-12 16:53:39,AC,297
2025-09-12 16:53:39,Fridge,324
2025-09-12 16:53:39,Washing Machine,350
2025-09-12 16:53:39,TV,219
2025-09-12 16:54:39,AC,200
2025-09-12 16:54:39,Fridge,238
2025-09-12 16:54:39,Washing Machine,332
2025-09-12 16:54:39,TV,255
2025-09-12 16:55:39,AC,250
2025-09-12 16:55:39,Fridge,335
2025-09-12 16:55:39,Washing Machine,201
2025-09-12 16:55:39,TV,331
2025-09-12 16:56:39,AC,304
2025-09-12 16:56:39,Fridge,302
2025-09-12 16:56:39,Washing Machine,314
2025-09-12 16:56:39,TV,233
2025-09-12 16:57:39,AC,325
2025-09-12 16:57:39,Fridge,320
2025-09-12 16:57:39,Washing Machine,330
2025-09-12 16:57:39,TV,232
2025-09-12 16:58:39,AC,325
2025-09-12 16:58:39,Fridge,289
2025-09-12 16:58:39,Washing Machine,265
2025-09-12 16:58:39,TV,349
2025-09-12 16:59:39,AC,221
2025-09-12 16:59:39,Fridge,214
2025-09-12 16:59:39,Washing Machine,202
2025-09-12 16:59:39,TV,344
2025-09-12 17:00:39,AC,214
2025-09-12 17:00:39,Fridge,245
2025-09-12 17:00:39,Washing Machine,234
2025-09-12 17:00:39,TV,317
2025-09-12 17:01:39,AC,338
2025-09-12 17:01:39,Fridge,253
2025-09-12 17:01:39,Washing Machine,232
2025-09-12 17:01:39,TV,290
2025-09-12 17:02:39,AC,205
2025-09-12 17:02:39,Fridge,313
2025-09-12 17:02:39,Washing Machine,341
2025-09-12 17:02:39,TV,301
2025-09-12 17:03:39,AC,317
2025-09-12 17:03:39,Fridge,272
2025-09-12 17:03:39,Washing Machine,312
2025-09-12 17:03:39,TV,241
2025-09-12 17:04:39,AC,1011
2025-09-12 17:04:39,Fridge,293
2025-09-12 17:04:39,Washing Machine,267
2025-09-12 17:04:39,TV,229
2025-09-12 17:05:39,AC,217
2025-09-12 17:05:39,Fridge,297
2025-09-12 17:05:39,Washing Machine,318
2025-09-12 17:05:39,TV,270
2025-09-12 17:06:39,AC,294
2025-09-12 17:06:39,Fridge,315
2025-09-12 17:06:39,Washing Machine,279
2025-09-12 17:06:39,TV,330
2025-09-12 17:07:39,AC,216
2025-09-12 17:07:39,Fridge,343
2025-09-12 17:07:39,Washing Machine,261
2025-09-12 17:07:39,TV,312
2025-09-12 17:08:50,AC,301
2025-09-12 17:08:50,Fridge,207
2025-09-12 17:08:50,Washing Machine,271
2025-09-12 17:08:50,TV,209
2025-10-05 22:06:16,AC,107
2025-10-05 22:06:16,Fridge,51
2025-10-05 22:06:16,Washing Machine,84
2025-10-05 22:06:16,TV,123
2025-10-05 22:07:16,AC,64
2025-10-05 22:07:16,Fridge,144
2025-10-05 22:07:16,Washing Machine,143
2025-10-05 22:07:16,TV,102
2025-10-05 22:08:16,AC,130
2025-10-05 22:08:16,Fridge,84
2025-10-05 22:08:16,Washing Machine,64
2025-10-05 22:08:16,TV,132
2025-10-05 22:09:16,AC,52
2025-10-05 22:09:16,Fridge,113
2025-10-05 22:09:16,Washing Machine,83
2025-10-05 22:09:16,TV,64
2025-10-05 22:10:16,AC,103
2025-10-05 22:10:16,Fridge,119
2025-10-05 22:10:16,Washing Machine,127
2025-10-05 22:10:16,TV,99
2025-10-05 22:11:16,AC,137
2025-10-05 22:11:16,Fridge,127
2025-10-05 22:11:16,Washing Machine,149
2025-10-05 22:11:16,TV,53
2025-10-05 22:12:17,AC,95
2025-10-05 22:12:17,Fridge,57
2025-10-05 22:12:17,Washing Machine,57
2025-10-05 22:12:17,TV,53
2025-10-05 22:13:17,AC,100
2025-10-05 22:13:17,Fridge,65
2025-10-05 22:13:17,Washing Machine,119
2025-10-05 22:13:17,TV,132
2025-10-05 22:14:17,AC,876
2025-10-05 22:14:17,Fridge,69
2025-10-05 22:14:17,Washing Machine,106
2025-10-05 22:14:17,TV,91
2025-10-05 22:15:17,AC,76
2025-10-05 22:15:17,Fridge,67
2025-10-05 22:15:17,Washing Machine,138
2025-10-05 22:15:17,TV,108
2025-10-05 22:16:17,AC,83
2025-10-05 22:16:17,Fridge,58
2025-10-05 22:16:17,Washing Machine,97
2025-10-05 22:16:17,TV,92
2025-10-05 22:17:17,AC,70
2025-10-05 22:17:17,Fridge,146
2025-10-05 22:17:17,Washing Machine,1458
2025-10-05 22:17:17,TV,88
2025-10-05 22:18:17,AC,88
2025-10-05 22:18:17,Fridge,106
2025-10-05 22:18:17,Washing Machine,120
2025-10-05 22:18:17,TV,65
2025-10-05 22:19:17,AC,69
2025-10-05 22:19:17,Fridge,65
2025-10-05 22:19:17,Washing Machine,148
2025-10-05 22:19:17,TV,150
2025-10-05 22:20:17,AC,87
2025-10-05 22:20:17,Fridge,144
2025-10-05 22:20:17,Washing Machine,62
2025-10-05 22:20:17,TV,52
2025-10-05 22:21:17,AC,82
2025-10-05 22:21:17,Fridge,51
2025-10-05 22:21:17,Washing Machine,90
2025-10-05 22:21:17,TV,125
2025-10-05 22:22:28,AC,65
2025-10-05 22:22:28,Fridge,867
2025-10-05 22:22:28,Washing Machine,103
2025-10-05 22:22:28,TV,94
2025-10-05 22:23:28,AC,72
2025-10-05 22:23:28,Fridge,58
2025-10-05 22:23:28,Washing Machine,133
2025-10-05 22:23:28,TV,881
2025-10-05 22:24:28,AC,108
2025-10-05 22:24:28,Fridge,107
2025-10-05 22:24:28,Washing Machine,108
2025-10-05 22:24:28,TV,85
2025-10-05 22:25:28,AC,98
2025-10-05 22:25:28,Fridge,114
2025-10-05 22:25:28,Washing Machine,71
2025-10-05 22:25:28,TV,95
2025-10-05 22:26:28,AC,87
2025-10-05 22:26:28,Fridge,90
2025-10-05 22:26:28,Washing Machine,109
2025-10-05 22:26:28,TV,89
2025-10-05 22:27:28,AC,81
2025-10-05 22:27:28,Fridge,106
2025-10-05 22:27:28,Washing Machine,117
2025-10-05 22:27:28,TV,62
2025-10-05 22:28:28,AC,87
2025-10-05 22:28:28,Fridge,60
2025-10-05 22:28:28,Washing Machine,62
2025-10-05 22:28:28,TV,59
2025-10-05 22:29:28,AC,70
2025-10-05 22:29:28,Fridge,87
2025-10-05 22:29:28,Washing Machine,99
2025-10-05 22:29:28,TV,95
2025-10-05 22:30:28,AC,53
2025-10-05 22:30:28,Fridge,125
2025-10-05 22:30:28,Washing Machine,55
2025-10-05 22:30:28,TV,67
2025-10-05 22:31:28,AC,94
2025-10-05 22:31:28,Fridge,73
2025-10-05 22:31:28,Washing Machine,75
2025-10-05 22:31:28,TV,82
2025-10-05 22:32:28,AC,126
2025-10-05 22:32:28,Fridge,65
2025-10-05 22:32:28,Washing Machine,59
2025-10-05 22:32:28,TV,101
2025-10-05 22:33:28,AC,60
2025-10-05 22:33:28,Fridge,74
2025-10-05 22:33:28,Washing Machine,104
2025-10-05 22:33:28,TV,108
2025-10-05 22:34:28,AC,52
2025-10-05 22:34:28,Fridge,80
2025-10-05 22:34:28,Washing Machine,1155
2025-10-05 22:34:28,TV,50
2025-10-05 22:35:28,AC,99
2025-10-05 22:35:28,Fridge,56
2025-10-05 22:35:28,Washing Machine,61
2025-10-05 22:35:28,TV,78
2025-10-05 22:36:28,AC,93
2025-10-05 22:36:28,Fridge,92
2025-10-05 22:36:28,Washing Machine,68
2025-10-05 22:36:28,TV,118
2025-10-05 22:37:28,AC,1270
2025-10-05 22:37:28,Fridge,106
2025-10-05 22:37:28,Washing Machine,77
2025-10-05 22:37:28,TV,123
2025-10-05 22:38:28,AC,147
2025-10-05 22:38:28,Fridge,78
2025-10-05 22:38:28,Washing Machine,101
2025-10-05 22:38:28,TV,122
2025-10-05 22:39:28,AC,84
2025-10-05 22:39:28,Fridge,150
2025-10-05 22:39:28,Washing Machine,103
2025-10-05 22:39:28,TV,109
2025-10-05 22:40:28,AC,80
2025-10-05 22:40:28,Fridge,116
2025-10-05 22:40:28,Washing Machine,127
2025-10-05 22:40:28,TV,58
2025-10-05 22:41:28,AC,133
2025-10-05 22:41:28,Fridge,111
2025-10-05 22:41:28,Washing Machine,109
2025-10-05 22:41:28,TV,114
2025-10-05 22:42:28,AC,138
2025-10-05 22:42:28,Fridge,99
2025-10-05 22:42:28,Washing Machine,92
2025-10-05 22:42:28,TV,67
2025-10-05 22:43:28,AC,1344
2025-10-05 22:43:28,Fridge,63
2025-10-05 22:43:28,Washing Machine,106
2025-10-05 22:43:28,TV,144
2025-10-05 22:44:28,AC,78
2025-10-05 22:44:28,Fridge,124
2025-10-05 22:44:28,Washing Machine,67
2025-10-05 22:44:28,TV,104
2025-10-05 22:45:28,AC,90
2025-10-05 22:45:28,Fridge,134
2025-10-05 22:45:28,Washing Machine,59
2025-10-05 22:45:28,TV,122
2025-10-05 22:46:28,AC,66
2025-10-05 22:46:28,Fridge,143
2025-10-05 22:46:28,Washing Machine,105
2025-10-05 22:46:28,TV,99
2025-10-05 22:47:28,AC,110
2025-10-05 22:47:28,Fridge,61
2025-10-05 22:47:28,Washing Machine,108
2025-10-05 22:47:28,TV,107
2025-10-05 22:48:28,AC,70
2025-10-05 22:48:28,Fridge,101
2025-10-05 22:48:28,Washing Machine,77
2025-10-05 22:48:28,TV,74
2025-10-05 22:49:28,AC,101
2025-10-05 22:49:28,Fridge,87
2025-10-05 22:49:28,Washing Machine,86
2025-10-05 22:49:28,TV,63
2025-10-05 22:50:28,AC,134
2025-10-05 22:50:28,Fridge,129
2025-10-05 22:50:28,Washing Machine,115
2025-10-05 22:50:28,TV,85
2025-10-05 22:51:28,AC,74
2025-10-05 22:51:28,Fridge,128
2025-10-05 22:51:28,Washing Machine,111
2025-10-05 22:51:28,TV,143
2025-10-05 22:52:28,AC,103
2025-10-05 22:52:28,Fridge,77
2025-10-05 22:52:28,Washing Machine,143
2025-10-05 22:52:28,TV,130
2025-10-05 22:53:28,AC,90
2025-10-05 22:53:28,Fridge,65
2025-10-05 22:53:28,Washing Machine,74
2025-10-05 22:53:28,TV,51
2025-10-05 22:54:28,AC,78
2025-10-05 22:54:28,Fridge,73
2025-10-05 22:54:28,Washing Machine,100
2025-10-05 22:54:28,TV,93
2025-10-05 22:55:28,AC,82
2025-10-05 22:55:28,Fridge,108
2025-10-05 22:55:28,Washing Machine,63
2025-10-05 22:55:28,TV,82
2025-10-05 22:56:28,AC,79
2025-10-05 22:56:28,Fridge,71
2025-10-05 22:56:28,Washing Machine,121
2025-10-05 22:56:28,TV,129
2025-10-06 21:03:44,AC,452
2025-10-06 21:03:44,Fridge,1466
2025-10-06 21:03:44,Washing Machine,322
2025-10-06 21:03:44,TV,410
2025-10-06 21:04:44,AC,484
2025-10-06 21:04:44,Fridge,368
2025-10-06 21:04:44,Washing Machine,379
2025-10-06 21:04:44,TV,371
2025-10-06 21:05:44,AC,459
2025-10-06 21:05:44,Fridge,347
2025-10-06 21:05:44,Washing Machine,323
2025-10-06 21:05:44,TV,348
2025-10-06 21:06:44,AC,327
2025-10-06 21:06:44,Fridge,323
2025-10-06 21:06:44,Washing Machine,392
2025-10-06 21:06:44,TV,321
2025-10-06 21:07:44,AC,383
2025-10-06 21:07:44,Fridge,332
2025-10-06 21:07:44,Washing Machine,979
2025-10-06 21:07:44,TV,478
2025-10-06 21:08:44,AC,355
2025-10-06 21:08:44,Fridge,465
2025-10-06 21:08:44,Washing Machine,361
2025-10-06 21:08:44,TV,368
2025-10-06 21:09:44,AC,485
2025-10-06 21:09:44,Fridge,347
2025-10-06 21:09:44,Washing Machine,372
2025-10-06 21:09:44,TV,397
2025-10-06 21:10:44,AC,359
2025-10-06 21:10:44,Fridge,443
2025-10-06 21:10:44,Washing Machine,482
2025-10-06 21:10:44,TV,445
2025-10-06 21:11:44,AC,396
2025-10-06 21:11:44,Fridge,418
2025-10-06 21:11:44,Washing Machine,474
2025-10-06 21:11:44,TV,404
2025-10-06 21:12:44,AC,316
2025-10-06 21:12:44,Fridge,443
2025-10-06 21:12:44,Washing Machine,890
2025-10-06 21:12:44,TV,407
2025-10-06 21:13:44,AC,930
2025-10-06 21:13:44,Fridge,485
2025-10-06 21:13:44,Washing Machine,466
2025-10-06 21:13:44,TV,385
2025-10-06 21:14:44,AC,359
2025-10-06 21:14:44,Fridge,310
2025-10-06 21:14:44,Washing Machine,482
2025-10-06 21:14:44,TV,448
